id;post;post_media;caption;text;intents_v1;intents_model;intents_final;notes
@VARUS_channel:18888;"🔸Чай чорний ТМ Prince of Chester
🔸Шоколадний крем горіховий з какао ТМ Nutella";VARUS_channel_9847.jpg|VARUS_channel_9848.jpg;;Хочете прикол ?) в мене навпаки тільки чай а нутелли немає 😅;"[""availability""]";"[""availability""]";[];verdict: operator (pattern-quiz 03.08): home-pantry joke, no consumer aspect -> []
@VARUS_channel:19215;"Сьогодні Міжнародний день водоспаду, а ти не збираєшся його відзначати? Йой, так не годиться. Пірнай у потік двотижневої вигоди та святкуй-знижкуй усі події! 

🔸Сир Камамбер з журавлиним соусом ТМ Mlekovita
🔸Ковбаса салямі європейський ТМ Алан
🔸Напій ТМ Pepsi
🔸Лікер ТМ Jim Beam

📍 Акції діють з 09.06 до 22.06.

Більше позицій шукай у супермаркетах VARUS або на VARUS.UA 🧡";VARUS_channel_9842.jpg|VARUS_channel_9843.jpg|VARUS_channel_9844.jpg|VARUS_channel_9845.jpg|VARUS_channel_9846.jpg;;Днепр прошу;"[""availability""]";;"[""availability""]";"tl-llm; city coverage request"
@VARUS_channel:20136;🔸Сосиски міні з яловичиною ТМ Бащинський;VARUS_channel_10210.jpg;;Має бути в кожному;"[""availability""]";;[];"tl-llm; elliptical praise ""має бути в кожному [домі]"" — emoji-analog, no aspect; image consulted (discount card): not a price remark"
@VARUS_channel:20655;Так-так-так, а що з цього смако-набору можна приготувати? Пропонуй у коментарях 🍽;VARUS_channel_10349.jpg;;Паста с сиром, салат з зеленню та яблоками;"[""taste""]";[];"[""taste""]";"tl-llm; dish proposal answer"
@VARUS_channel:2799;"Пропозиції для тебе, діють тільки завтра 😎

🔸 Морква молода 
🔸 Гель для душу Натурель, Оливкове молочко ТМ Palmolive
🔸 Вода мінеральна Лужанська ТМ Алекс
🔸 Печиво в асортименті ТМ Oreo";VARUS_channel_3170.jpg|VARUS_channel_3171.jpg|VARUS_channel_3172.jpg|VARUS_channel_3173.jpg;;Це акції на завтра.;"[""price""]";;"[""service""]";"tl-llm; promo-terms clarification (dates) — terms/communication family"
@VARUS_channel:4549;"🎉 Святкуємо День народження VARUS!

З 11.09 святкові знижки до –55% на 3000 товарів 🛒

22 роки — це хороший привід святкувати разом. Від продуктів щоденного вжитку до улюблених смаколиків — обирайте більше та платіть менше.

Вигідний асортимент чекає у VARUS — деталі на VARUS.UA 🧡";VARUS_channel_4131.jpg|VARUS_channel_4132.jpg|VARUS_channel_4133.jpg|VARUS_channel_4134.jpg|VARUS_channel_4135.jpg|VARUS_channel_4136.jpg;;Сам магазин понравился тем , что ассортимент отличается от других сетей;"[""availability""]";[];"[""availability""]";"tl-llm; assortment praise (v1 kept)"
@VARUS_channel:6885;"🔸 Лосось слабосолений ТМ Iceberg
🔸 Віскі ТМ Hankey Bannister 
🔸 Печиво здобне ТМ Delicia 
🔸 Рушник паперовий ТМ Диво";VARUS_channel_5576.jpg|VARUS_channel_5577.jpg|VARUS_channel_5578.jpg|VARUS_channel_5579.jpg;;Хтось брав цей лосось як він?;"[""taste""]";"[""taste""]";"[""taste""]";"tl-llm; product experience question"
@VARUS_channel:7701;"Як немає бажання метушитися на кухні, VARUS створить різномаїжний святковий стіл за тебе! Ще й зі знижкою -30% на банкетне меню🎄 
 
Будь-які улюблені страви: від салатів до хрустких крокетів та ніжних рулетів. Просто обирай, замовляй завчасно і насолоджуйся.
 
Як замовити? 
 
1️⃣ Обери страви з нашого банкетного меню та найближчий супермаркет VARUS для отримання. 
2️⃣ Залиш замовлення заздалегідь, щонайменше за 24 години до потрібного часу. 
3️⃣ Підходь у визначений час до супермаркету, який обрав для видачі замовлення. 
4️⃣ Забери готові страви у відділі та сплачуй на касі. Точна сума буде розрахована при отриманні. 

VARUS — твій надійний партнер у створенні смачних і затишних свят!";VARUS_channel_5969.jpg|VARUS_channel_5970.jpg|VARUS_channel_5971.jpg|VARUS_channel_5972.jpg|VARUS_channel_5973.jpg;;фу;"[""taste""]";[];"[""taste""]";"tl-llm; food disgust interjection"
@msuaaaa:10572;"Знижки в АТБ 😜🤪

🗓з 18.03.26 по 24.03.2026
Вигода до -50%🔣

Ще більше акцій у коментарях 🗯";msuaaaa_9354.jpg|msuaaaa_9355.jpg|msuaaaa_9356.jpg|msuaaaa_9357.jpg|msuaaaa_9358.jpg|msuaaaa_9359.jpg;;ни о чем;"[""price""]";[];"[""price""]";"tl-llm; promo-value dismissal (""ни о чем"")"
@msuaaaa:11243;"Знижки в АТБ 😜🤪

🗓з 15.04.26 по 21.04.2026
Вигода до -50%🔣

Більше знижок у коментарях 🗯";msuaaaa_9620.jpg|msuaaaa_9621.jpg|msuaaaa_9622.jpg|msuaaaa_9623.jpg|msuaaaa_9624.jpg|msuaaaa_9625.jpg|msuaaaa_9626.jpg|msuaaaa_9627.jpg|msuaaaa_9628.jpg;;Оо;"[""price""]";[];[];"tl-llm; bare interjection ""Оо"" -> unclear:true (one-word family)"
@msuaaaa:11270;"Знижки в АТБ 😜🤪

🗓з 15.04.26 по 21.04.2026
Вигода до -50%🔣

Більше знижок у коментарях 🗯";msuaaaa_9620.jpg|msuaaaa_9621.jpg|msuaaaa_9622.jpg|msuaaaa_9623.jpg|msuaaaa_9624.jpg|msuaaaa_9625.jpg|msuaaaa_9626.jpg|msuaaaa_9627.jpg|msuaaaa_9628.jpg;;хуня;"[""price""]";[];"[""price""]";"tl-llm; vulgar promo-value dismissal"
@msuaaaa:11280;"Знижки в АТБ 😜🤪

🗓з 15.04.26 по 21.04.2026
Вигода до -50%🔣

Більше знижок у коментарях 🗯";msuaaaa_9620.jpg|msuaaaa_9621.jpg|msuaaaa_9622.jpg|msuaaaa_9623.jpg|msuaaaa_9624.jpg|msuaaaa_9625.jpg|msuaaaa_9626.jpg|msuaaaa_9627.jpg|msuaaaa_9628.jpg;;Ахуєний;"[""price""]";[];"[""price""]";"tl-llm; vulgar promo-value praise"
@msuaaaa:11786;"🤔 Дуже хороша знижка на рослинне молоко Alpro в 🥳😏

Лише по 119 грн 🪙
🗓 Акція діє лише до 17.05.26, тож можна сміливо робити запаси";msuaaaa_9887.jpg|msuaaaa_9888.jpg;;Звичайна акція;"[""price""]";[];"[""price""]";"tl-llm; ""звичайна акція"" — promo value evaluation"
@msuaaaa:11975;"У Roshen помітили новинку 🍒

ICE CHERRY — цукерки зі шматочками заспиртованої вишні та ментолом у шоколаді 🍫

🪙 26.99 грн за 100 г";msuaaaa_9964.jpg|msuaaaa_9965.jpg;;Ну як;"[""taste""]";[];"[""taste""]";"tl-llm; ""Ну як"" — asking how the new sweets are"
@msuaaaa:13021;"На перший погляд важко повірити, що це взагалі морозиво.. 😳🌟
Спробували б?";msuaaaa_10367.jpg;;Так;"[""taste""]";[];"[""taste""]";"tl-llm; poll-answer scoreable (8903 family): yes to ""would you try"""
@msuaaaa:13325;"🫐🍓Такі ціни на лохину та полуницю в 🥳😏 бувають нечасто!

Хто вже встиг скористатися? 👀";msuaaaa_10506.jpg|msuaaaa_10507.jpg;;До закінчення товарних запасів;"[""availability""]";"[""availability""]";"[""availability""]";"tl-llm; stock-disclaimer quote (v1+model agree)"
@msuaaaa:13741;"🍔 McDonald’s перетворив пакування нових бургерів на маленький фоточелендж 📸

🇺🇦 Шукайте сині та жовті кольори крізь цю «М», фотографуйте, публікуйте у сториз чи дописах та позначайте @mcdonaldsukraine 

Кажуть, найкращі роботи покажуть у себе в 🟥 👀";msuaaaa_10699.jpg|msuaaaa_10700.jpg;;шось за це буде?;"[""price""]";"[""service""]";"[""service""]";"tl-llm; promo-mechanic reward question"
@msuaaaa:3133;"Нові акції в Рошен 🍫

Знижки до -50%
з 10.05.25 по 23.06.25 🗓";msuaaaa_5113.jpg|msuaaaa_5114.jpg|msuaaaa_5115.jpg|msuaaaa_5116.jpg|msuaaaa_5117.jpg|msuaaaa_5118.jpg|msuaaaa_5119.jpg|msuaaaa_5120.jpg|msuaaaa_5121.jpg|msuaaaa_5122.jpg;;ого;"[""price""]";[];[];"tl-llm; interjection ""ого"" — emoji-analog, positive, no aspect"
@msuaaaa:3488;"Знижки в АТБ 😜🤪

🗓з 25.06.2025 по 01.07.2025

Знижки до -50%";msuaaaa_5385.jpg|msuaaaa_5386.jpg|msuaaaa_5387.jpg|msuaaaa_5388.jpg|msuaaaa_5389.jpg|msuaaaa_5390.jpg|msuaaaa_5391.jpg|msuaaaa_5392.jpg|msuaaaa_5393.jpg|msuaaaa_5394.jpg;;По 1.07.2025*;"[""price""]";[];"[""service""]";"tl-llm; promo dates correction — terms/communication family"
@msuaaaa:6303;"Крейзі середа в KFC!🍔
🎟️ За купоном 5050 — бери 2 за ціною 1 - 235 грн 🪙

🍔 ТРІПЛ ЧІІЗ БІТ 🧀
📆 Лише сьогодні — 8 жовтня";msuaaaa_7202.jpg;;ВАУУУУУ;"[""price""]";[];[];"tl-llm; interjection ""ВАУУУУУ"" — emoji-analog positive"
@msuaaaa:6410;"Вони зникли з полиць, але не з пам’яті 🍭

А ви пам’ятаєте їх? 👋
Які були ваші улюблені?❤️";msuaaaa_7230.jpg|msuaaaa_7231.jpg|msuaaaa_7232.jpg|msuaaaa_7233.jpg|msuaaaa_7234.jpg|msuaaaa_7235.jpg;;Спартаааа;"[""taste""]";[];"[""taste""]";"tl-llm; nostalgia sweets answer (ruling-6 family)"
@msuaaaa:6656;"🥫У Сільпо🏢Супер дні!
📆20–22 жовтня -50% на другу одиницю на всі кетчупи та соуси 🍴
До 10 одиниць у чеку!

А акційні соуси вже у коментарях 👇";msuaaaa_7393.jpg;;где-то нас наебали;"[""price""]";"[""service""]";"[""service""]";"tl-llm; promo fairness accusation (guideline: mechanic honesty -> service)"
@msuaaaa:6752;"🍔 McDonald’s повернув сирну легенду🧀
🟡 Біг Чікен Чіз
🟡 Біг Біф Чіз
🟡 Сир Брі
🟡 Фрі із сирним соусом і беконом
Сирний сезон — офіційно відкрито! 🍟";msuaaaa_7435.jpg|msuaaaa_7436.jpg;;Та може будуть ваучери);"[""price""]";"[""service""]";"[""price""]";"tl-llm; voucher wish = promo value (not mechanics)"
@msuaaaa:7033;"Ех, ці знижки в АТБ🥦 — заходиш за хлібом, виходиш із повним пакетом 🛒

А ви теж не можете втриматись від цих щоденних акцій? 🔣";msuaaaa_7578.jpg|msuaaaa_7579.jpg;;И с пустым 👛 😂;"[""price""]";[];"[""price""]";"tl-llm; empty-wallet joke continuing post — spending on promos"
@msuaaaa:7091;"Супер тижні у Сільпо🏢
🍪 Печиво до чаю, кави чи просто так? 😉

📅 3–16 листопада
🍫 На все печиво -50% на другу одиницю";msuaaaa_7594.jpg;;Боже я давно чекав цього дня;"[""price""]";;"[""price""]";"tl-llm; joy at promo"
@msuaaaa:7540;"🏢 Ще трохи знижок у Сільпо 🧡
📆 до 26 листопада

Ще більше знижок, вже у коментарях 🗯";msuaaaa_7864.jpg|msuaaaa_7865.jpg|msuaaaa_7866.jpg|msuaaaa_7867.jpg|msuaaaa_7868.jpg|msuaaaa_7869.jpg|msuaaaa_7870.jpg|msuaaaa_7871.jpg|msuaaaa_7872.jpg;;Где-то нас надули;"[""price""]";"[""service""]";"[""service""]";"tl-llm; promo fairness accusation (same family as 6656)"
@msuaaaa:7690;"Нові акції в Рошен 🍫

Знижки до -50%
з 25.11.25 по 08.12.25 🗓

Більше знижок у коментарях 🗯";msuaaaa_7928.jpg|msuaaaa_7929.jpg|msuaaaa_7930.jpg|msuaaaa_7931.jpg|msuaaaa_7932.jpg|msuaaaa_7933.jpg|msuaaaa_7934.jpg|msuaaaa_7935.jpg|msuaaaa_7936.jpg;;Атб ?;"[""availability""]";"[""availability""]";"[""availability""]";"tl-llm; asking if available in ATB"
@msuaaaa:8335;"Йогурт по акції + 14 днів MEGOGO безкоштовно 🎬🍿

🥛 Йогурт Молокія Білий + попкорн
🔖 Шукай акційну наліпку → промокод всередині
📹 Активуй «Оптимальну» передплату на MEGOGO

Йогурт + хрумкий попкорн + кіно = ідеальний вечір вдома ✨";msuaaaa_8217.jpg|msuaaaa_8218.jpg;;Ось тут деталі пропозиції: https://trademaster.ua/news/37680;"[""price""]";[];"[""service""]";"tl-llm; promo-terms info link (communication); borderline no-reaction"
@msuaaaa:8678;"🍟Новий тижневий ваучер 
від McDonald’s! 🍔

Чізбургер + Чікен Джуніор +
Картопля фрі середня + Напій середній на вибір = 199 грн 🍟

📆 діє до 04.01.2026

Ще більше ваучерів, вже у коментарях 🗯";msuaaaa_8394.jpg;;А як їх використовувати?;"[""price""]";"[""service""]";"[""service""]";"tl-llm; voucher usage question — guideline mechanic example"
@msuaaaa:9385;"Завжди вигідно в Єва 💚💚

 3 2 по 3 лютого💄 

Кешбек 80% 🪙на:
💚Всі гігієнічні прокладки
💚LCF Вся декоративна косметика

Більше знижок у коментарях🗯";msuaaaa_8763.jpg|msuaaaa_8764.jpg|msuaaaa_8765.jpg|msuaaaa_8766.jpg|msuaaaa_8767.jpg;;Лютого?;"[""price""]";[];"[""service""]";"tl-llm; promo dates confusion — terms/communication"
@msuaaaa:9542;"Ні на що не натякаю… але завтра п’ятниця 😏
А в Новусі 🥰😘😗 пиво всього по 10 грн! 🍻";msuaaaa_8843.jpg|msuaaaa_8844.jpg;;Це дивлячись який Новус;"[""availability""]";"[""availability""]";"[""availability""]";"tl-llm; store-dependent availability"
@msuaaaa:9712;"Ось такі сирники від «Легко» з’явилися на полицях 👀

Вже помітила їх у Novus та Auchan 🤒🛒
Вага – 320 г
Ціна – 145 грн

Хто вже пробував? Кажуть смачні 🍴";msuaaaa_8955.jpg|msuaaaa_8956.jpg;;А какая калорийность?;"[""quality""]";[];"[""quality""]";"tl-llm; calories = composition"
@msuaaaa:9810;"🍟McDonald’s відмовляється від картону? 🍟

Картопля фрі та навіть стаканчики для напоїв у деяких країнах тепер у багаторазовому пластику. 
Після використання їх миють і повертають в обіг ♻️

Як вам така ідея? 🍔";msuaaaa_9003.jpg|msuaaaa_9004.jpg;;Миють, миють, не переживайте)));"[""packaging"", ""quality""]";[];"[""packaging"",""quality""]";"tl-llm; reusable-cup hygiene irony (v1 kept)"
@VARUS_channel:15526;"Маємо пропозицію, повз яку неможливо пройти. До тебе в кошик заїжджають товари, відмічені лого ГеройCar @carforheroua, а нашим військовим — по 1 грн на автівки з кожного такого товару 🤝

🔸Халва соняшникова ТМ Zolotoi Vek
🔸Рулет ТМ Біла Береза
🔸Морозиво Факел ТМ Ласунка
🔸Літак-планер з Лед підсвічуванням

Тільки уяви, скільки підтримки отримають захисники, якщо всі-всі покупці долучаться до доброї справи. Підключайся, разом зробимо більше 🧡";VARUS_channel_8669.jpg|VARUS_channel_8670.jpg|VARUS_channel_8671.jpg|VARUS_channel_8672.jpg|VARUS_channel_8673.jpg;;Тут дело такое что нужно только пробовать)));"[""taste""]";[];"[""taste""]";"tl-llm; need-to-try remark"
@VARUS_channel:21253;"Футбол, гарна компанія та улюблені снеки — рецепт ідеального вечора! 
Сьогодні о 00:00 зустрінуться Франція та Англія. Хто виборе третє місце? Дізнаємося вже зовсім скоро!

До матчу не забудьте запастися всім необхідним:
🔸Чипси картопляні ТМ Люкс
🔸Пиво ТМ Krombacher
🔸Пиво Київське ТМ Оболонь
🔸Пиво світле ТМ Stella Artois
🔸 Пиво ТМ Leffe

Влаштовуйте справжню футбольну атмосферу вдома, підтримуйте свого фаворита, а про смачний супровід до гри подбає VARUS! 🧡";VARUS_channel_10471.jpg|VARUS_channel_10472.jpg|VARUS_channel_10473.jpg|VARUS_channel_10474.jpg|VARUS_channel_10475.jpg|VARUS_channel_10476.jpg;;Скажіть, а можна таке дитині давати 2 роки та 3 місяці віком? Дякую.;"[""quality""]";[];"[""quality""]";"tl-llm; child-suitability = composition/safety"
@VARUS_channel:3831;"🔸 Масло Екстра 81,5% ТМ Столиця смаку
🔸 Майонез ТМ Hellmann’s
🔸 Перець солодкий 
🔸 Рушник паперовий в асортименті ТМ Velvet";VARUS_channel_3826.jpg|VARUS_channel_3827.jpg|VARUS_channel_3828.jpg|VARUS_channel_3829.jpg;;А мені наче норм 🤷‍♀;"[""quality""]";[];[];"tl-llm; referent unknown, reads as reply to other commenters -> unclear:true (cross-commenter family)"
@VARUS_channel:7158;"На старт, увага, пʼятниця! Марафон знижок у VARUS 🖤

Прибавляємо вигоду твоєму кошику: при покупці від 1000 грн з карткою лояльності VARUS PERFECT — отримуй 10% кешбеку на всі-і-і не акційні товари у чеку*. В 10 разів більше, ніж завжди. 

Все для того, щоб похід по смаколики підносив настрій до на-а-а-йвищої полиці!

Виглядаємо тебе у VARUS і на VARUS.UA 🧡

📍Пропозиція діє лише 28.11.2025 та 29.11.2025

*Пропозиція також не розповсюджується на алкогольні товари та тютюнові вироби";VARUS_channel_5717.jpg;;На дурні розважальні додатки тільки гроші витрачають, завдяки чому здорожчання тільки пришвидшується.;"[""price""]";[];"[""price"",""service""]";"tl-llm; app spending criticism (service) driving price growth (price)"
@VARUS_channel:9097;"Подарунок від Варусятка — +30 Великих боксів у грі 🎁 

Купуй фізичний Щастя Бокс у VARUS або на VARUS.UA — і отримуй 30 Великих боксів у грі. Це +9000 щастя для твого Варусятка 💛

Подарунок, який тішить ще до того, як його відкриють. А всередині Щастя Бокса: смаколики, бонуси, сертифікати та приємні сюрпризи 🎄🎁

Шукай Щастя Бокс у VARUS та на VARUS.UA — нехай радості стане ще більше 🧡";VARUS_channel_6259.jpg;;Немає нічого, дякую!;"[""availability""]";[];[];verdict: operator (pattern-quiz 03.08): referent unrecoverable -> [] + unclear:true
@msuaaaa:13560;"🍗 дарує напій! 🥤

Використовуйте промокод WORLD та отримайте напій у подарунок

Лише сьогодні 19 липня 🗓

📲 Діє при замовленні курки від 250 грн у застосунку KFC";msuaaaa_10643.jpg;;Супер, дякую за знижку! 🍗💛;"[""price""]";[];"[""price""]";"tl-llm; thanks naming the discount"
@msuaaaa:12205;"Пу пу пу… схоже, у Живчика ребрендинг 😎
Оновлені пляшечки вже помітили в 😜🤪

І зараз ще й зі знижкою 🥤
🪙 41.50 грн за 2 літри";msuaaaa_10049.jpg|msuaaaa_10050.jpg;;це жахливо😭😭😭;"[""packaging""]";;"[""packaging""]";"tl-llm; rebrand bottle reaction"
@msuaaaa:12395;"У 🥳😏 зʼявилась новинка
🥖напівфабрикати від Loven 🩷

Ціни стартують від 213 грн
Цікаво, чи смачно 🤔🌟";msuaaaa_10119.jpg|msuaaaa_10120.jpg;;"Ото я сліпа ,на упаковці ж написано🫣
Дякую";"[""packaging""]";[];"[""packaging""]";"tl-llm; package label info"
@msuaaaa:8522;"Знайоме борошно з полиць магазину?🌾
Тоді погляньте на карту України на пачці 👀
Нічого не насторожує? 🗺
Бо Одеської області там майже не видно…🤔";msuaaaa_8326.jpg|msuaaaa_8327.jpg;;"Впевнена, що це просто технічна помилка при друці.
Не варто шукати зради, де її немає.";"[""packaging""]";[];"[""packaging""]";"tl-llm; map print on pack"
@VARUS_channel:10737;"🔸Віскі ТМ Grant’s
🔸Стегно куряче";VARUS_channel_6799.jpg|VARUS_channel_6800.jpg;;Это и все? Виски и стегно?;"[""availability""]";"[""availability""]";"[""price""]";"tl-llm; thin promo list — family 13113/9400/9510; flip from v1+model availability, noted"
