id;text;intents;verdict;notes
@VARUS_channel:8238;Розводняк а не магазин, зняли більше 2000, гаряча лінія скидає дзвінки, оператор в чат боті не відповідає годину. Замовлення немає 2000719250 де моє замовлення???;"[""service""]";correct;
@VARUS_channel:19579;Ув.Варус 38,Что у вас идет обсуждения покупателей, двумя уборщицами,которые сегодня работают???Правда,что вы хотите,что бы их забирали тцк???Так к вам же ходить никто не будет,и так оборот маленький,а то вообще,практически будет равен 0!!!!Так не делается,кого вы вообще берете на работу???Куда смотрит руководство,вообще не известно!!!Лучше тогда ходить в другие магазины,если такие пожелания покупателям!!!Время 18.03 маг.Варус,г.Днепр.Большая Диевская 38!;"[""service""]";correct;
@VARUS_channel:8669;₴100 знижки за поточні ціни просто сенсаційно! Як і ₴25 в аптеці;"[""price""]";correct;
@msuaaaa:9006;🤬🤡🤡🤡🤡🤡🤡;[];correct;
@VARUS_channel:7799;"Тому що немає розуміння що замовлення повинні видаватися в кожному Варусі, а досі люди возять з правого берега на лівий.
Бюрократія що перемогла розум та доцільність...";"[""service""]";correct;
@VARUS_channel:4093;Я так розумію що томатної пасти ніде не було. Запоріжжя .;"[""availability""]";correct;
@VARUS_channel:3073;Акція вроді є а рушників і близько немає! Нащо такі акції??????;"[""availability""]";correct;
@VARUS_channel:11873;Зачем рекламировать товар одного дня, если масло Молокия отсутствует в магазине Одесса, массив Радужный 15/3;"[""availability""]";correct;
@VARUS_channel:3370;Вместо ромашки ссьілка на милку🙈;"[""service""]";correct;
@msuaaaa:11298;Розчарування.Тому що ціна за 1 Маккріспі і за рол скажена.Я краще щоб наїстися замість Маккріспі який коштуе 198 грн куплю біг-мак меню за 255 гривень и буде вигідніше а креветки я можу і в магазині можу купити дешевше обійдеться чим стояти в чергах.;"[""price""]";correct;
@VARUS_channel:8925;Ну наприклад: 25 грн у подарунок в аптеці подорожник. При умові, що ти скупляешся на 450грн... Бл..., ви серйозно?🤣;"[""service""]";correct;
@VARUS_channel:17804;Сир, сьогодні, м. Дніпро, про.Поля, 82 грн. Де акція?;"[""price""]";correct;
@VARUS_channel:14908;Кам'янське. Тричі намагались замовити банкетне меню. Як через гарячу лінію так і залишали контакт для зв'язку безпосередньо в магазині. Суцільне ігнорування. Результат - банкетне меню замовлено в Сільпо без жодних проблем. Такі прохані до омерзатіння;"[""service""]";correct;
@msuaaaa:11612;Опоздали;"[""service""]";correct;
@VARUS_channel:6566;"Обрали москаля багато скрiнiв.

На наступний конкурс не буду реєструватися тут";"[""service""]";correct;
@VARUS_channel:11646;Чому прибрали доставку Новою поштою? Що там у вас сталося;"[""service""]";correct;
@VARUS_channel:20174;Я його по 69 грн взяла на тому тижні, була знижка 80 %;"[""price""]";correct;
@VARUS_channel:266;Не дісталось, як завжди. НУ нічого , переживемо, головне, щоб не було війни;[];correct;
@msuaaaa:13136;Вкусно советую брать;"[""taste""]";correct;
@msuaaaa:4256;🙏 дякую;[];correct;
@VARUS_channel:18881;То де чай?;"[""availability""]";correct;
@VARUS_channel:15491;Были вчера в Варусе, мороженого Факел нет((;"[""availability""]";correct;
@VARUS_channel:11339;Зараз зробила експеримент. Розбила своє замовлення на дві доставки. Одне на сьогодні ( найшвидше) і на завтра ( платне) подивимося. Хоча майже 200грн на доставки вийшло;"[""price"", ""service""]";correct;
@VARUS_channel:21628;Немає такої ціни 46.50 ні на один дезодорант;"[""price""]";correct;
@VARUS_channel:20460;Кривий Ріг,ВАРУС-24,ПРИВІТ!!!!ДЯКУЮ ЗА ГАРНУ РОБОТУ!!!ЧУДОВИЙ КОЛЕКТИВ!;"[""service""]";correct;
@VARUS_channel:11976;"Так, це польський варіант. Смачно. У мене в магазині полуфабрикатів продаються, роблять їх у нас на фабриці під Кривий Рогом.
Вареники з начинкою по-польські називаються";"[""quality"", ""taste""]";correct;
@VARUS_channel:4016;Капсул немає ,і вже не в перший раз пишуть,що акція і приходиш товару і приблизно немає,за завтра з'явиться за звичайною ціною!!!!!!;"[""availability"", ""service""]";correct;
@msuaaaa:10800;Знаю що корейці дуже люблять ті цукерки від рошен😁;[];correct;
@msuaaaa:7632;"Точно є у Білій Церкві👌🏻

Можете перевірити у додатку МакДональдс, чи вже доступне Френдз меню у обраному закладі 😉";"[""availability""]";correct;
@VARUS_channel:9003;Кому потрібна ця діч, де подарунки отримують працівник;"[""service""]";correct;
@VARUS_channel:10161;А зачем там значит висит прям в магазине афиша;"[""service""]";correct;
@msuaaaa:10181;Не вкусное если что;"[""taste""]";correct;
@msuaaaa:8033;Пепсі маленька?;"[""packaging""]";correct;
@VARUS_channel:18001;"Вони шахраї 
Все фейкове";"[""service""]";correct;
@VARUS_channel:19075;Норм;[];correct;
@VARUS_channel:9738;"Скажіть будь ласка,чи буде новий перелік товарів на варус юа,на які можна витратити зимову тисячу.
Бо зайшла на сайт,а там з майже 4000тисяч товарів,залишилось 17😢";"[""service""]";correct;
@VARUS_channel:13913;ВКУСНОЕ ОЧЕНЬ.;"[""taste""]";correct;
@VARUS_channel:9033;Коли буде доставлене онлайн замовлення?! Чекаю вже третій день!!!;"[""service""]";correct;
@msuaaaa:12206;Ммм хуєта;[];correct;
@VARUS_channel:11742;Варус, эта тема донатов уже давно не модная. ТЦК все перегадили. Народ не верит. Меняйте приоритеты.;"[""service""]";correct;
@VARUS_channel:18246;Просрочка? 🤔🤔🤷‍♂;"[""quality""]";correct;
@msuaaaa:9930;🔥🔥🔥;[];correct;
@VARUS_channel:6735;"Зранку навпаки - товар був, але акційні ціни не діяли, бо не працював інтернет.
Зате протерміновані сири з часів «сирфесту» ніяк з полиць не приберуть";"[""price"", ""quality"", ""service""]";correct;
@VARUS_channel:17037;У кого грошей багато той на ціни не дивиться. А якщо доставка, то це гарно для торгівеної сіті. Ніхто товар не мацає руками і на терміни споживання майже не дивиться.;"[""price"", ""quality"", ""service""]";correct;
@VARUS_channel:11559;А для того щоб прийняти участь, треба щось купувати?;"[""service""]";correct;
@VARUS_channel:13179;Цілком згоден з Вами. Як сходжу в магазин, то завжди якийсь негатив. Потім заспокоюся, заходжу і знов щось не так. Побачив в цьому каналі акцію на ананаси, зайшов вчора купив, і замість ціни 109.90 за кг як було вказано, купив по 188.90. От це так акція. Дякую, напевно це вже буде мій останній візит в магазин. 🤬🤬🤬;"[""price"", ""service""]";correct;
@VARUS_channel:6092;А так всегда когда скидка так и нет, зачем тогда выставлять?? Ааа, ну да для заманухи просто в магаз. Прошлая неделя, скидка на капсулы кофе Дольче густо Американо, не в одном Варусе нету сразу, Вы хотите сказать что это кофе в капсулах все пьют, я 4 Варуса объехал по Днепру и нигде небыло на полках, а лишь цена со скидкой. И тут вуаля, только на следующий день акция закончилась , я заезжаю в 2 разных Ваших Варуса и все есть, но без скидки. Разводилы!;"[""availability"", ""service""]";correct;
@VARUS_channel:1820;Здравствуйте. Почему убрали скидку -30% на кулинарию?  Неужели выгодно выкинуть, чем продать?;"[""price""]";correct;
@VARUS_channel:18085;Доброго, мирного вечора! Пояснить будь ласка всім щоб знали бо онлайн-замовлення роблю постійно, щоб знати на що звернути увагу?;"[""service""]";correct;
@VARUS_channel:18494;"Вы когда вернёте эту функцию, то не забудьте провести обучение своих сотрудников и охранников, которые и в ус не дуют, что такое сканэндго. Вчера охраннику проводила наглядное обучение ;)";"[""service""]";correct;
@msuaaaa:8335;Ось тут деталі пропозиції: https://trademaster.ua/news/37680;[];correct;
@VARUS_channel:5988;Хочу попробовать батончик - типа Дубайский шоколад , но в нашем Варусе его к сожалению нет пока 😞;"[""availability""]";correct;
@msuaaaa:8483;Супер;[];correct;
@msuaaaa:9563;Бижу в новусс💋💋💋💋💋;[];correct;
@VARUS_channel:16521;Добрый день, сегодня купил вареники с творогом, а оказалось что в пачке половина пельменей с мясом !;"[""quality""]";correct;
@msuaaaa:11498;Я завтра это смогу купить??;"[""availability""]";correct;
@VARUS_channel:7789;Просто лохотронщики 🤦‍♀️ Ви ділите, обмежуєте і дурите людей. Хто ж на вас підписуватись буде? EVA в цих питаннях відповідальніша. Не реклама, просто порівняння.;"[""service""]";correct;
@VARUS_channel:17806;Звичайно. На касах і СО і звичайна ціна 82;"[""price""]";correct;
@VARUS_channel:1460;"Мама моя - ветеран труда, но пенсия печальная, а я даже помочь ей не могу.
И много сейчас таких людей...
Но не Варус в этом виноват - это точно.🤷";[];correct;
@VARUS_channel:17701;У вас стара ціна (перекреслена) 59,99 у рекламі, а на сайті 37,99, ось у чому питання. Чому перекреслили 59,99, якщо продаєте без знижки по 37,99?;"[""service""]";correct;
@VARUS_channel:5055;Чекаю вечірній рандом;[];correct;
@VARUS_channel:1756;🎉Вітаю!🥳;[];correct;
@msuaaaa:13519;Очень вкусное кстати;"[""taste""]";correct;
@msuaaaa:9839;👍🏻👍🏻👍🏻;[];correct;
@VARUS_channel:7472;"Тим паче що КОЖЕН день діє ""акція"" -15% віднімається від твого балансу😁
Тож я через 8 днів був би майже з нульом😄";"[""service""]";correct;
@msuaaaa:8753;И найдется же долбоеб который её купит!;[];correct;
@VARUS_channel:2799;Це акції на завтра.;[];correct;
@VARUS_channel:15588;Правила це стале а те що переписують коли хоче це не правила. Завтра напишуть шо за призові місця ми їм винні;"[""service""]";correct;
@VARUS_channel:4818;У них служба поддержки просто ужасная....на телефоне висел минт 40 пока с человеком поговорил.;"[""service""]";correct;
@VARUS_channel:8391;Давай перерозыгрыш;"[""service""]";correct;
@VARUS_channel:8920;Задовбали ви своїм тамагочі. Краще б додаток нормальний зробили;"[""service""]";correct;
@VARUS_channel:3769;При оформленні замовлення, на сайті відображається інформація, що замовлення буде доставлене протягом двох днів.;"[""service""]";correct;
@VARUS_channel:18116;Согласна . Человек наверное завидует , вот и пишет ерунду). Онлайн заказ - это намного удобнее, чем шататься по магазинам  в жару и  в холод . Все основное  привезли домой , а ты можешь зайти в Варус по дороге чтоб только мороженое или водички купить .;"[""service""]";correct;
@VARUS_channel:1371;"Дніпро.
Ошийок 300 з гаком гривень, за акцію персонал нічого не знає. 
І нашо все це? 
Аби було?";"[""price"", ""service""]";correct;
@VARUS_channel:12196;Теж чекаю;[];correct;
@msuaaaa:13703;За умови сканування QR на касі працює;"[""service""]";correct;
@VARUS_channel:15610;Не шукайте серця, там де його немає🤣;[];correct;
