id;text;intents_before;intents_after;verdict;notes
@msuaaaa:12274;це просто списання або виходить строк придатності тому ціна така мала;"[""quality""]";"[""price"", ""quality""]";new;
@VARUS_channel:179;Паски хлебкомбината,а рекламировали свои;[];"[""service""]";new;
@msuaaaa:5405;Так шо прийдеться ще чекати;"[""availability""]";[];new;
@VARUS_channel:4254;лохотрон якийсь !  де подивитись сам розіграх?;[];"[""service""]";new;
@VARUS_channel:16859;"Завтра.  На сумму не менее  300 грн
Но завтра может и не быть)))";"[""price""]";"[""service""]";new;
@VARUS_channel:6565;як мінімум, є програма рандомайзер, і сам процес розіграшу і обрання переможця можна зробити запис екрану. Це з найпростішого.😉;[];"[""service""]";new;
@VARUS_channel:13461;Чернослив по 1000грн??? Реально? Старый, прошлогодний, весной??? Специально на Озерке спросила - отборный 150грн/кг, похуже -100! И никому не нужен даже так в марте;"[""price"", ""quality""]";"[""availability"", ""price"", ""quality""]";new;
@VARUS_channel:11972;Картопля з печінкою;"[""taste""]";[];Old;
@VARUS_channel:11960;З вишнею;"[""taste""]";[];Old;
@VARUS_channel:17367;Печалька. У меня такого еще не было, рыба приезжала по доставке всегда суперская. Вот с Сильпо была как- то история, я у них теперь в доставку рыбу не заказываю.;"[""quality""]";"[""quality"", ""service""]";new;
@VARUS_channel:7139;Кому кешбек, а кому кіт! 😸;[];"[""service""]";new;
@VARUS_channel:7426;"Торгівля повітрям з усіх щілин пре. «Можна знайти» - а можна і не знайти.
В наступному році, мабуть, слід чекати платну підписку Perfect Plus з індивідуальними знижками для підписників. Це ж скільки задіяних платних ресурсів можливо вивільнити, якщо від цих програм псевдолояльності і додаткових дурниць на кшталт варусяток, відмовитися. Більша економія вийде, ніж добутку від продажу повітря плєбсу.
Сертифікат на 100 гривень взагалі при поточних цінах сприймається як глузування з покупця, на упаковку вершкового масла за акційною ціною та булку хліба";"[""price""]";"[""price"", ""service""]";new;
@VARUS_channel:20664;"Зайшла в Varus на Деміївській стоїть цінник 302 грн.по акції,показала фото,питаю""де?""хочу купити""-""в нас такого нема""
Де є?";"[""availability"", ""price""]";"[""availability""]";new;
@VARUS_channel:7082;А я наконец-то поняла условия розыгрыша у Варусятка🤦‍♀ чем больше купишь, тем возможно увеличатся шансы... Проще пойти и купить телефон, вместо горы ненужных продуктов😢;[];"[""service""]";new;
@VARUS_channel:11902;Було б круто якби в кулінарії варус зʼявився суп том ям;[];"[""availability""]";neither;"operator: correct set is [""taste""] — dish-wish reads as flavour preference; dictated in chat 2026-08-02, transcribed by team lead"
@VARUS_channel:4844;Худшая доставка продуктов в Одессе, какую только можно представить. Интернет-заказ переносят на 1–2 дня, иногда даже без предупреждения. Деньги списываются сразу, а при отказе от заказа возвращаются не раньше чем через три дня.;[];"[""service""]";New;
@VARUS_channel:6499;VARUS поясніть. Чекаємо офіц.коментарі;[];"[""service""]";new;
@VARUS_channel:13597;Доброго дня. Дуже незручне нововведення у Варусі, замовлення онлайн можна робити з отриманням аж через чотири години.;[];"[""service""]";new;
@VARUS_channel:9133;"Краще б забезпечили магазини нормальными курʼєрами, аби не доводилось чекати свої онлайн замовлення 2 дні, бо нема кому доставити 🙃

Бажаю вам у 2026 році взяти у ШТАТ магазинів курʼєра, а не працювати з «одноразовими» співробітниками 🎄🎇 🥳";[];"[""service""]";new;
@VARUS_channel:10469;Трошки не так - цінник встановлено акційний, але при зважуванні стікери виходять на повну ціну. Відповідь однакова - програма не спрацьовує;"[""price""]";"[""service""]";new;
@VARUS_channel:13393;Виграють тільки багаті та модельної зовнішності)))) Якщо виграють звісно)));[];"[""service""]";new;
@VARUS_channel:7171;А зачем промокод? Набираете корзину через сканго и оплачиваете картой изи. Вот и минус 20%;"[""price""]";"[""service""]";new;
@VARUS_channel:16858;"І як замовити цей томат за цією ціною?
У додатку ціна інша";"[""price""]";"[""price"", ""service""]";new;
@VARUS_channel:6561;Покажіть потім, як навушники вручаєте переможцю, оскільки він там де є Варус😉;[];"[""service""]";new;
@VARUS_channel:8891;"Варус просто обманщики и мошенники.

На первой недели была в рейтенге 75 ,купила корма достаточно что бы выграть хотя бы тысячу,у них был сбой боксики мне начислили,аж через 4 дня. Покупала еще товар,в 23.45 тбыла в топе,потом резко 135.
Теперь новое кино. Пришла смс о выграше ЛапБокса и оказалось ,что у них сбой и смс пришло по ошибки. Еще такого ..еб я не видела. 

Такая сеть и вчено у них сбои. Делаешь инт ернет заказ,то же отменить нельзя,потому что еще в разработке эта возможность.

На горячую линию дозвонится не возможно, Ты стаешь первой в очереди и тебя тупо сбрасывают,при т ом что ты ожидал 20 минут.

ПРОСТО ПОЗОР";[];"[""service""]";new;
@VARUS_channel:6666;"Магазини (не тільки Варус, загалом подібного стосується!!) могли б допомагати військовим самостійно, з прибутку. 
Підбішує, коли донатять по суті люди, а ""допомога"" ніби від компанії (хоч і зі згадками і поясненнями, але все ж).
Наголошу, що це претензія до всіх компаній - просто висловлена в ТГ-каналі Варусу 😁";[];"[""service""]";new;
@msuaaaa:12388;а як користуватися цими купонами із застосунку?;[];"[""service""]";new;
@VARUS_channel:10165;Варус, ваша служба підтримки в телеграм не відповідає;[];"[""service""]";new;
@VARUS_channel:21170;В приложении заказывайте;[];"[""service""]";new;
@VARUS_channel:6405;Варус, ми дочекаємося відповіді? Тут вже цікаво хто брехун.;[];"[""service""]";new;
@VARUS_channel:4473;"А для того щоб брати участь у розіграші,треба бути учасником програми лояльності varus,та купувати товари партнерів.
А товари партнерів достатньо купити один раз за весь період чи як?
І чи збільшується шанс на виграш при купівлі кількості товара партнерів?";[];"[""service""]";new;
@VARUS_channel:10342;З вами вигоди не буває. 🤬;"[""price""]";"[""service""]";new;
@msuaaaa:6410;Спартаааа;"[""taste""]";[];new;
@VARUS_channel:4218;Куди поділися акції дня? Чому не публікуєте акційні товари?;"[""price""]";"[""service""]";new;
@VARUS_channel:7124;Так і не доставили хотя повинні були доставити 18:50-19:10;"[""availability""]";"[""service""]";new;
@VARUS_channel:21576;страшные;"[""quality""]";[];new;
@msuaaaa:3856;Це треба через додаток ваучер сканувати чи через отой манітор на якому замовляти?;"[""price""]";"[""service""]";new;
@VARUS_channel:17280;"Вибачте,хочу запитати,у Харкові коли не будь відкриєте ""Варус""?";[];"[""availability""]";new;
@VARUS_channel:10112;"А в мене інше питання: це ж сирі крильця? Не приготовані?))))
По фото не зрозуміло мені";[];"[""quality""]";new;
@VARUS_channel:1788;Капец де побачити під яким номером хто?;[];"[""service""]";new;
