id;channel;carrier;date;hit;pattern;text;brand;line;category;size;fat;notes
@atb_market_official:1155;@atb_market_official;post_text;2024-08-19T08:41:56+00:00;brand:svoia-liniia;35%;Час похрумтіти 😉 -35% на картопляні чипси ТМ Своя Лінія 🍟 Обирайте улюблений смак 🥬🌶️🦀🧀🥓🍃🍗 і Шукайте на полицях АТБ або на сайті 😊 Акція діє з 14.08.24 по 20.08.24;;;;;;
@atb_market_official:1339;@atb_market_official;post_text;2024-10-07T10:05:21+00:00;category:dairy:десерт;30%;Солодкі знижки в АТБ 🤩 -30% на десерт сирковий ТМ Дольче. -41% на шоколад молочний або чорний ТМ Milennium. Шукайте на полицях АТБ або на сайті, акція діє тільки до 08.10.24 🛒;;;;;;
@atb_market_official:1822;@atb_market_official;post_text;2025-01-22T11:33:30+00:00;category:dairy:молочн;40%;-40% на молочний або чорний шоколад Millennium 🌰 Акція діє з 22.01.25 по 28.01.25 Шукайте на полицях АТБ або на сайті atbmarket.com Більше знижок у додатку АТБ 📱 Для IOS Для Android;;;;;;
@epicentrk_sale:6148;@epicentrk_sale;post_text;2026-07-18T07:33:00+00:00;category:dairy:масл;100 г;Суботній рецепт від Епіцентру — кіш із сьомгою та броколі 🥦 🐟 Ніжна сьомга, броколі та вершкова заливка на хрусткій основі — поєднання, яке точно варто спробувати 😋 📎 Для тіста: 🌾 Борошно — 200 г 🧈 Холодне вершкове масло — 100 г 🥚 Яйце — 1 шт. 🧂 Сіль — дрібка 💧 Холодна вода — 1–2 ст. л. за потреби 📎 Для начинки: 🐟 Сьомга — 300 г 🥦 Броколі — 250–300 г 🍅 Помідори чері — 150 г 🧀 Моцарела — 150 г 🥛 Вершки жирністю 20% — 200 мл 🥚 Яйця — 4 шт. 🧂 Сіль — за смаком 🌰 Мускатний горіх — на кінчику ножа 👨‍🍳 Як приготувати: 1️⃣ Змішайте борошно із сіллю. Додайте нарізане кубиками холодне масло та перетріть руками до утворення крихти. 2️⃣ Додайте яйце й швидко замісіть тісто. За потреби влийте 1–2 столові ложки холодної води. 3️⃣ Сформуйте з тіста кулю, загорніть у харчову плівку та залиште в холодильнику на 30 хвилин. 4️⃣ Розкачайте тісто й викладіть у форму діаметром приблизно 24 см, сформувавши дно та бортики. Наколіть основу виделкою. 5️⃣ Накрийте тісто пергаментом, насипте зверху суху квасолю або інший вантаж і випікайте 15 хвилин за температури 180 °C. Потім приберіть пергамент із вантажем і випікайте ще 5 хвилин. 6️⃣ Суцвіття броколі залийте окропом на 5 хвилин, після чого злийте воду та добре обсушіть. 7️⃣ Сьомгу наріжте невеликими шматочками, помідори чері — половинками. Моцарелу за потреби наріжте або залиште кульками. 8️⃣ Викладіть на підпечену основу сьомгу, броколі, помідори чері та моцарелу. 9️⃣ Для заливки змішайте яйця, вершки, сіль і мускатний горіх. Залийте начинку отриманою сумішшю. 🔟 Випікайте кіш за температури 180 °C приблизно 25–30 хвилин, доки начинка не стане пружною та злегка золотистою. ✨ Порада: Не ріжте одразу, залиште готовий кіш на 10–15 хвилин. За цей час начинка стабілізується, а шматочки будуть краще тримати форму. Кіш смакує як теплим, так і охолодженим.;;;;;;
@korolevakuchni:10350;@korolevakuchni;post_text;2026-07-11T03:32:21+00:00;category:dairy:сир;300 г;СИРНИКИ З ПЕРСИКОМ У ДУХОВЦІ Інгредієнти: 300 г сиру кисломолочного 1 яйце 1 ст.л. борошна 1 ст.л. меду 1 персик 1 ст.л. кунжуту Приготування: 1. Розчавлюємо сир виделкою, додаємо борошно, яйце, кунжут, мед і нарізаний персик. 2. Перемішуємо тісто і формуємо сирники. 3. Викладаємо на пергамент і запікаємо у духовці 20 хвилин при 180*С. #сирники;;;;;;
@matusi_ukr:22025;@matusi_ukr;post_text;2026-07-11T12:01:57+00:00;category:dairy:сир;30 г;🥒🍔 БУРГЕР ІЗ КАБАЧКА Легкий, соковитий та дуже смачний! 🤤 Обов’язково збережіть собі ❤️ 📝 Інгредієнти для “булочок”: • 🥒 Кабачок — 1 шт. (≈350 г) • 🥚 Яйце — 1 шт. • 🧀 Твердий сир — 30 г • 🌾 Борошно — 3 ст. л. • 🌿 Зелень — за смаком • 🧂 Сіль, перець, насіння — за смаком 🥪 Для начинки: • 🧀 Крем-сир • 🍗 Індичка гарячого копчення • 🥬 Листя салату • 🍅 Помідори • 🧀 Твердий сир 👩‍🍳 Приготування: 1️⃣ Кабачок натерти на тертці та змішати з яйцем, сиром, борошном, зеленню, сіллю, перцем і насінням. 2️⃣ Викласти масу на деко, застелене пергаментом, сформувавши дві прямокутні “булочки”. 3️⃣ Випікати 20 хвилин при 190°C 🔥 4️⃣ Готові “булочки” змастити крем-сиром. 5️⃣ Додати індичку, листя салату, помідори та сир. 6️⃣ Накрити другою половинкою та насолоджуватися! 😍 💛 Смачного! Хто б спробував такий корисний бургер? 🍔👇 Автор ▫️«Матусі України» Телеграм ▫️ Задати питання ✍️;;;;;;
@matusi_ukr:22255;@matusi_ukr;post_text;2026-07-30T11:05:02+00:00;category:dairy:сир;150 г;🌶️ Мариновані міні-перчики з крем-сиром 😍🧀 Неймовірно смачна закуска, яка прикрасить будь-який стіл! Зберігайте рецепт ❤️ 📝 Інгредієнти: 🌶️ Міні-перці — 300 г 🧀 Крем-сир — 150 г 💧 Вода — 750 мл 🫒 Олія — 120 мл 🧂 Сіль — 20 г 🍬 Цукор — 30 г 🥄 Оцет 9% — 40 мл 🧄 Часник — 2–3 зубчики 🌿 Італійські трави — 1 ч. л. 🍃 Лавровий лист — 1 шт. ⚫ Перець горошком — 4–5 шт. 👩‍🍳 Приготування: 1️⃣ У каструлю налийте воду, додайте сіль, цукор, олію, часник, італійські трави, лавровий лист і перець горошком. 2️⃣ Доведіть маринад до кипіння, зніміть з вогню та влийте оцет. 3️⃣ У перчиків зріжте верхівки, видаліть насіння та покладіть їх у гарячий маринад. 4️⃣ Залиште перці в маринаді до повного охолодження. 5️⃣ Начиніть кожен перець крем-сиром. 6️⃣ Складіть перчики в банку або контейнер, залийте маринадом і поставте в холодильник на 1–2 години. 😋 Смачного! Це ідеальна холодна закуска, яка зникає зі столу за лічені хвилини. 💛 Автор ▫️«Матусі України» Телеграм ▫️ Задати питання ✍️;;;;;;
@recepti:11794;@recepti;post_text;2026-07-26T16:00:02+00:00;category:dairy:масл;20 г;Риба по-новому 🐟 🐟 Хек або минтай — 600 г 🧂 Сіль, перець і спеції до риби — приблизно 1 ч. л. 🧈 Вершкове масло — 20 г 🫒 Трохи рослинної олії 🧅 Цибуля — 1–2 шт. 🥣 Сметана — 3 ст. л. 💧 Вода — 50 мл 🌿 Кріп і петрушка (або будь-яка улюблена зелень) Рибу помийте, почистіть і наріжте порційними шматочками. Додайте сіль, перець і спеції, перемішайте. На сковорідці розігрійте трохи рослинної олії, додайте вершкове масло й обсмажте цибулю до золотистого кольору. Для заливки змішайте сметану з водою, додайте подрібнену зелень. На цибулю викладіть рибу, накрийте кришкою й готуйте кілька хвилин. Потім переверніть шматочки, залийте сметанною сумішшю, знову накрийте кришкою й тушкуйте ще 5–7 хвилин. TikTok автор: lyudmilagushlenko Кулінарні рецепти👩🏻‍🍳;;;;;;
@retsepty:7281;@retsepty;post_text;2026-07-13T08:01:29+00:00;category:dairy:молок;150г;ВІВСЯНКА З ГРИБАМИ ✨ 🔸200г курячого філе 🔸400г печериць 🔸100г вівсянки 🔸150г молока +300г води 🔸сіль, перець 🔸ч.л олії для смаження 🔸пучок зелені(кріп, петрушка) 🔸тертий сир для подачі - 30г 1.на сухій сковорідці обсмажте гриби 8-10хв. Влийте трішки олії, вкиньте куряче філе, посоліть і поперчіть, і переміючи смажте 7хв 2.закиньте суху вівсянку, влийте води і молока, і під кришкою, періодично перемішуючи готуємо 12-15хв. 3.вкидаємо тертий сир і пучок зелені, вимішуємо і готово. Instagram автор:mil_alexx Кулінарні рецепти;;;;;;
@retsepty:7318;@retsepty;post_text;2026-07-24T07:03:41+00:00;category:dairy:сир;50г;Перекус за 5 хвилин 🥪 🔸Варена ковбаска-150г 🔸Твердий сир-50г 🔸Сир «Сулугуні»-50г 🔸Помідор-1шт 🔸Зелень-за смаком 🔸Сметана-1ст.л 🔸Вафлі 🔸Яйця-2шт TikTok автор: alinka_cookinggg Кулінарні рецепти;;;;;;
@silposilpo:2529;@silposilpo;post_text;2024-08-19T10:51:41+00:00;category:dairy:молочн;30 г;Від вигоди мову віднімає!🤩 У «День Балобонуса» в «Сільпо» балобонуси тільки й щебечуть звідусіль про знижки👇🏻 ☀️Лише з 15 по 21 серпня бісквіт «Барні» з шоколадною або з молочною начинкою, 30 г зі знижкою 38% – 9,99 грн. Ця та ще багато інших товарів зі знижками до 60% чекають на вас у супермаркетах «Сільпо» і на сайті silpo.ua. Між усіма, хто їх купує, ми розігруємо 1 000 000 балобонусів☀️ Балобонуси вже збираються! Може, саме до вашого «Власного Рахунку»? Для детальнішої інформації переходьте за посиланням: https://silpo.ua/catalog/den-balobonusa;;;;;;
@silposilpo:2745;@silposilpo;post_text;2025-02-04T12:46:49+00:00;category:dairy:молок;2,5%;Субота? Супер! Інакше й бути не може, враховуючи знижки в «Сільпо»😌 Тільки 8 лютого, цієї суперсуботи: ⚪️Молоко «Галичина» ультрапастеризоване 2,5%, 950 г зі знижкою 40% – 36,99 грн ⚪️Шоколад Milka з арахісом і карамеллю, 276 г або Triolade тришаровий з молочним і білим шоколадом, 280 г зі знижкою 43% – 119 грн ⚪️Гель Persil для прання кольорових речей або з ароматом троянди, 1,69 л зі знижкою 57% – 299 грн ⚪️Форель патрана охолоджена 0,5–2 ПР, кг зі знижкою 33% – 299 грн Шукайте в наших супермаркетах або ж замовляйте онлайн.;;;;;;
@silposilpo:3154;@silposilpo;post_text;2025-09-19T06:59:31+00:00;brand:premia;180 г;Супергостям… супердні. Для класного настрою. Для файного смакування. Саме цього у вересні не вистачає. Що? Що-що – біжіть у «Сільпо», поки не пізно🙃 Бо лише 19.09 і 20.09: 🧡 Сьомга або форель «Премія»® слабосолона, шматок на шкірі, 180 г за 149 грн. О-о-о! Знижечка 50%. Та ні, просто суперлюбимо вас. Тож чекаємо у супермаркетах або на сайті. Щоб добряче порибувати😉;;;;;;
@silposilpo:3234;@silposilpo;post_text;2025-10-24T06:18:00+00:00;category:dairy:сметан;140 г;Ох уже ці Цінотижики! Знову прилетіли та загарбузили знижечки🤩 Подивимося, що підготували цього разу? Тільки з 23 по 29 жовтня: 🎃 Чипси Lay's Max рифлені зі смаком сметани та цибулі, або зі смаком лобстера, або «Стронг» зі смаком чилі та лайма, 140 г зі знижкою 38% – 49,99 грн. 🎃 Сир «Ферма» кисломолочний 9%, 350 г зі знижкою 39% – 59,99 грн. Беріть торбинки чи авоськи та хрумкотіть до нас швиденько у «Сільпо» або замовляйте доставку на нашому сайті.;;;;;;
@silposilpo:3517;@silposilpo;post_text;2026-02-19T07:10:53+00:00;category:dairy:сир;100 г;Цінотижики розквітають на сонечку! Неабияк сильно, аж до -56%🤩 А разом із ними – знижечки на такі товари: 🍤Креветка королівська сира розморожена 40/60, 100 г зі знижкою 50% – 29,90 грн 🥛Молоко «Ферма» ультрапастеризоване 2,5%, 900 г зі знижкою 49% – 34,99 грн 🧀Сир «Ферма» чеддеризований 45% «Моцарелла» або «Сулугуні», 180 г зі знижкою 43% – 54,99 грн 🧀Сир «Комо» «Голландія» 45% або «Тенеро Мілк» 50%, брусок, 150 г зі знижкою 51% – 54,99 грн 🧀Сир Bonfetto «Подільський» порційний 45%, 100 г зі знижкою 54% – 25,90 грн 🥓Ковбаса Salsus «Вісбаден», 300 г зі знижкою 39% – 149 грн 🧺Засіб для прання Perwoll «Догляд та освіжаючий ефект», або для кольорових речей, або для темних та чорних речей, 3 л зі знижкою 56% – 349 грн 🥔Чипси Pringles зі смаком «Енчілада адобада» або зі смаком солі та оцту, 158 г зі знижкою 30% – 139 грн Цвіт акційний не вічний – лишень з 19 до 25 лютого. Тож беріть торбинки та ходіть у ближній супермаркет. Або замовляйте доставку на silpo.ua🧡;;;;;;
@silposilpo:3671;@silposilpo;post_text;2026-05-26T07:05:16+00:00;category:dairy:молок;2,5%;Щасливі години вже налилися-я-я🥛 Сьогодні молоко «Галичина» 2,5%, 900 г – зі знижкою аж 58%! На каву, кашу, млинці чи просто в холодильник «щоб було». Поспішайте – знижка діє тільки з 11:00 до 14:00 у доставці або самовивозом🛒;;;;;;
@suspilnepoltava:46982;@suspilnepoltava;post_text;2026-07-15T06:49:39+00:00;category:dairy:масл;30,2%;🥚 Яйця подешевшали на 30%: як змінилися ціни на Полтавщині у червні У червні на Полтавщині найбільше подешевшали яйця — одразу на 30,2%. Також нижчими стали ціни на м'ясо, молоко, масло, овочі та соняшникову олію. Що ще змінилося в цінах та які товари подорожчали — читайте на сайті;;;;;;
@telegraf_kremenchuk:70595;@telegraf_kremenchuk;post_text;2026-07-10T12:01:44+00:00;category:dairy:сир;48%;🛒 Щотижневі знижки у FOZZY - встигніть наповнити візок вигідно! 🍎Яблуко Ред Принц, кг, зі знижкою 25% – 44,90 грн 🥩Биток без кістки, свинина, кг, зі знижкою 34% – 199,00 грн 🐟Оселедець норвезький молодий, кг, зі знижкою 10% – 179,00 грн 🥓Ковбаса Коньячна, М'ясна Гільдія, 450 г, зі знижкою 40% – 119,00 грн 🧀Сир Гауда 48%, 100 г, зі знижкою 55% – 26,90 грн 🌭Сардельки Баварські, Самобранка, кг, зі знижкою 37% – 119,00 грн 🧈Масло солодковершкове Селянське 72,6%, Ферма, 180г, зі знижкою 20% – 59,99 грн 🥛Молоко ультрапастеризоване 3,2%, Селянське, 900 г, зі знижкою 33% – 36,99 грн ☕️Кава зерно в асортименті, extra!, 1 кг, зі знижкою 47% – 799,00 грн 🍪Печиво здобне Зоряне, еxtra!, зі знижкою 25% – 59,99 грн (10-12.07.26) 🫖Чай чорний байховий Golden Ceylon, G'tea!, 25*2 г, зі знижкою 52% – 44,99 грн 🐈‍⬛Корм для котів з куркою у соусі, Friskies, 85 г, зі знижкою 36% – 9,99 грн 🛏Подушка Бульбашка 50*70, Zastelli, шт., зі знижкою 56% – 199,00 грн Ще більше знижок на полицях гіпермаркету та на fozzyshop.ua #реклама;;;;;;
@telegraf_kremenchuk:71000;@telegraf_kremenchuk;post_text;2026-07-23T15:22:01+00:00;category:dairy:молок;1,10 грн;"Автомобільне пальне та гречка дорожчають, а овочі дешевшають: моніторинг цін на Кременчуччині за тиждень Кременчуцьке районне управління Держпродспоживслужби провело моніторинг цін на соціально значущі товари у торгівельних закладах району станом на 23 липня. З цією інформацією наше видання ознайомила Кременчуцька районна військова адміністрація. Упродовж тижня, що минає, на Кременчуччині спостерігалось підвищення цін на гречку, молоко, сметану, олію, дизельне пальне та бензин. Проте ранні овочі, картопля та яйця подешевшали. Варто зазначити, що Держпродспоживслужба моніторить ціни тільки на соціально значущі товари. Тому, не всі харчові продукти підпали під цей моніторинг. Згідно з інформацією Держпродспоживслужби, за минулий тиждень 📈 подорожчали: ⏺ гречка — на 3,55 грн за 0,8 кг; ⏺ молоко — на 1,10 грн за 0,9 л; ⏺ сметана 15% – на 3,25 грн за 0,4 кг; ⏺ олія соняшникова — на 1,65 грн за л; ⏺ бензин — на 3,30 грн за л; ⏺ дизельне пальне — на 4,54 грн за л; 📉 подешевшали: ⏺ морква — на 6,38 грн за кг; ⏺ цибуля — на 3,97 грн за кг; ⏺ капуста — на 2,62 грн за кг; ⏺ буряк — на 1,49 грн за кг; ⏺ картопля — на 0,55 грн за кг; ⏺ яйця — на 1,65 грн за 10 штук; ⏺ автогаз — на 0,30 грн за л. ТЪ ⁃ 🚀Підписатись ⁃ Надіслати новину/фото/відео ⁃ Реклама";;;;;;
@telegraf_kremenchuk:71024;@telegraf_kremenchuk;post_text;2026-07-24T12:01:35+00:00;category:dairy:сир;45%;🛒 Щотижневі знижки у FOZZY - встигніть наповнити візок вигідно! 🥖Багет гречаний подовий, Власна пекарня, 300 г, зі знижкою 25% – 34,99 грн 🦐Креветка королівська в панцирі с/м, 50/100, кг, зі знижкою 34% – 299,00 грн 🌭Ковбаса Престиж с/в, в/ґ, Алан, 330 г, зі знижкою 44% – 189,00 грн 🥓Кабаноси в асортименті Enjoy, Olewnik, 90 г, зі знижкою 30% – 69,90 грн 🧀Сир Маасдам 45%, 100 г, зі знижкою 53% – 32,90 грн 🥛Молоко ультрапастеризоване 2,5%, Селянське, 950 г, зі знижкою 44% – 34,99 грн 🧈Масло солодковершкове 82%, Селянське, 180 г, зі знижкою 41% – 69,99 грн 🍨Морозиво пломбір Стакан Великан 15%, Ласунка, 95 г, зі знижкою 48% – 24,99 грн 🍝Вироби макаронні в асортименті, Pasta Zara, 500 г, зі знижкою 37% – 49,99 грн 🍪Печиво Тутті-Фрутті, Biscotti, 355 г, зі знижкою 49% – 52,49 грн 🌾Квас хлібний, Квас Тарас, 2 л, зі знижкою 21% – 44,99 грн 🧴Гель для душу в асортименті, Deep Fresh, 1 л, зі знижкою 54% – 99,99 грн Ще більше знижок на полицях гіпермаркету та на fozzyshop.ua #реклама;;;;;;
